Trial Name: trial_hopefully_good_20260430-195315
Experiment Settings:
Trial Name: trial_hopefully_good
Manual Seed: 12345
Batch Size: 16
Image Size: 64
Latent Vector Size: 400
Generator Feature Map Size: 128
Discriminator Feature Map Size: 64
Number of Epochs: 25
Learning Rate: 0.0001
Beta1: 0.5
Number of GPUs: 1
Verbose Every N Batches: 25
Break After N Batches: 250
Save Model Every N Epochs: 25
Save Images Every N Iters: 150

Start Time = Thu Apr 30 19:53:15 2026
e[8/25]b[151/250]	Loss_D: 0.3512	Loss_G: 4.1802	D(x): 0.9274	D(G(z)): 0.1028 / 0.0219
e[8/25]b[176/250]	Loss_D: 2.5182	Loss_G: 4.0373	D(x): 0.9766	D(G(z)): 0.8864 / 0.0287
e[8/25]b[201/250]	Loss_D: 0.3673	Loss_G: 3.2951	D(x): 0.7643	D(G(z)): 0.0258 / 0.0327
e[8/25]b[226/250]	Loss_D: 0.5959	Loss_G: 2.0225	D(x): 0.6287	D(G(z)): 0.0779 / 0.1257
e[9/25]b[1/250]	Loss_D: 2.4567	Loss_G: 0.4683	D(x): 0.1290	D(G(z)): 0.0780 / 0.6529
e[9/25]b[26/250]	Loss_D: 0.5156	Loss_G: 2.5073	D(x): 0.8441	D(G(z)): 0.2137 / 0.0786
e[9/25]b[51/250]	Loss_D: 0.3087	Loss_G: 3.4616	D(x): 0.9395	D(G(z)): 0.0723 / 0.0528
e[9/25]b[76/250]	Loss_D: 1.7794	Loss_G: 4.9808	D(x): 0.7765	D(G(z)): 0.7481 / 0.0057
e[9/25]b[101/250]	Loss_D: 0.5967	Loss_G: 3.4726	D(x): 0.9969	D(G(z)): 0.2199 / 0.0271
e[9/25]b[126/250]	Loss_D: 0.6337	Loss_G: 11.1628	D(x): 0.6597	D(G(z)): 0.0000 / 0.0000
e[9/25]b[151/250]	Loss_D: 0.4852	Loss_G: 3.8698	D(x): 0.9087	D(G(z)): 0.2056 / 0.0255
e[9/25]b[176/250]	Loss_D: 1.1439	Loss_G: 2.2137	D(x): 0.4872	D(G(z)): 0.3058 / 0.1151
e[9/25]b[201/250]	Loss_D: 0.7180	Loss_G: 1.8681	D(x): 0.6925	D(G(z)): 0.2431 / 0.1467
e[9/25]b[226/250]	Loss_D: 0.5108	Loss_G: 2.6776	D(x): 0.8347	D(G(z)): 0.1957 / 0.0779
e[10/25]b[1/250]	Loss_D: 1.4367	Loss_G: 0.4413	D(x): 0.2778	D(G(z)): 0.1593 / 0.6920
e[10/25]b[26/250]	Loss_D: 0.4845	Loss_G: 3.1892	D(x): 0.7987	D(G(z)): 0.1017 / 0.0408
e[10/25]b[51/250]	Loss_D: 0.9792	Loss_G: 2.6339	D(x): 0.9224	D(G(z)): 0.5124 / 0.0738
e[10/25]b[76/250]	Loss_D: 1.4002	Loss_G: 2.2623	D(x): 0.5129	D(G(z)): 0.4855 / 0.1021
e[10/25]b[101/250]	Loss_D: 0.8207	Loss_G: 3.6170	D(x): 0.9571	D(G(z)): 0.4237 / 0.0237
e[10/25]b[126/250]	Loss_D: 0.8685	Loss_G: 2.6794	D(x): 0.4318	D(G(z)): 0.0090 / 0.1445
e[10/25]b[151/250]	Loss_D: 0.3035	Loss_G: 4.4996	D(x): 0.8643	D(G(z)): 0.0297 / 0.0171
e[10/25]b[176/250]	Loss_D: 1.0480	Loss_G: 2.3930	D(x): 0.6639	D(G(z)): 0.4022 / 0.1219
e[10/25]b[201/250]	Loss_D: 0.7578	Loss_G: 1.4169	D(x): 0.5003	D(G(z)): 0.0343 / 0.2308
e[10/25]b[226/250]	Loss_D: 0.3540	Loss_G: 2.6861	D(x): 0.8830	D(G(z)): 0.0856 / 0.0633
e[11/25]b[1/250]	Loss_D: 1.8203	Loss_G: 1.1523	D(x): 0.2685	D(G(z)): 0.1140 / 0.3588
e[11/25]b[26/250]	Loss_D: 0.9416	Loss_G: 3.1166	D(x): 0.8442	D(G(z)): 0.4655 / 0.0472
e[11/25]b[51/250]	Loss_D: 0.3153	Loss_G: 3.2196	D(x): 0.9404	D(G(z)): 0.0812 / 0.0379
e[11/25]b[76/250]	Loss_D: 1.2830	Loss_G: 1.3924	D(x): 0.3340	D(G(z)): 0.1298 / 0.2503
e[11/25]b[101/250]	Loss_D: 0.4548	Loss_G: 2.5195	D(x): 0.7617	D(G(z)): 0.0879 / 0.0823
e[11/25]b[126/250]	Loss_D: 0.9602	Loss_G: 7.2576	D(x): 0.4851	D(G(z)): 0.0004 / 0.0015
e[11/25]b[151/250]	Loss_D: 0.5456	Loss_G: 2.2529	D(x): 0.7966	D(G(z)): 0.2025 / 0.1042
e[11/25]b[176/250]	Loss_D: 2.1443	Loss_G: 4.7555	D(x): 0.8875	D(G(z)): 0.8332 / 0.0096
e[11/25]b[201/250]	Loss_D: 0.3709	Loss_G: 2.7645	D(x): 0.8758	D(G(z)): 0.1104 / 0.0582
e[11/25]b[226/250]	Loss_D: 0.3896	Loss_G: 2.6978	D(x): 0.8634	D(G(z)): 0.1036 / 0.0628
e[12/25]b[1/250]	Loss_D: 3.0140	Loss_G: 0.5551	D(x): 0.0726	D(G(z)): 0.2606 / 0.6058
e[12/25]b[26/250]	Loss_D: 1.2845	Loss_G: 3.0582	D(x): 0.9777	D(G(z)): 0.5451 / 0.0784
e[12/25]b[51/250]	Loss_D: 0.6102	Loss_G: 2.0154	D(x): 0.7303	D(G(z)): 0.1973 / 0.1269
e[12/25]b[76/250]	Loss_D: 1.5943	Loss_G: 1.4244	D(x): 0.2542	D(G(z)): 0.1806 / 0.2344
e[12/25]b[101/250]	Loss_D: 0.3867	Loss_G: 3.2186	D(x): 0.8709	D(G(z)): 0.1044 / 0.0587
e[12/25]b[126/250]	Loss_D: 0.6039	Loss_G: 4.3623	D(x): 0.6329	D(G(z)): 0.0038 / 0.0448
e[12/25]b[151/250]	Loss_D: 0.4993	Loss_G: 2.3679	D(x): 0.7877	D(G(z)): 0.1600 / 0.0888
e[12/25]b[176/250]	Loss_D: 0.6728	Loss_G: 1.9064	D(x): 0.5695	D(G(z)): 0.0797 / 0.1450
e[12/25]b[201/250]	Loss_D: 0.8209	Loss_G: 0.5840	D(x): 0.6074	D(G(z)): 0.2515 / 0.5815
e[12/25]b[226/250]	Loss_D: 0.5072	Loss_G: 2.3254	D(x): 0.7974	D(G(z)): 0.1543 / 0.0980
e[13/25]b[1/250]	Loss_D: 1.9342	Loss_G: 0.8194	D(x): 0.1621	D(G(z)): 0.0932 / 0.4599
e[13/25]b[26/250]	Loss_D: 1.6843	Loss_G: 3.9767	D(x): 0.8511	D(G(z)): 0.7330 / 0.0289
e[13/25]b[51/250]	Loss_D: 0.5918	Loss_G: 1.9992	D(x): 0.8191	D(G(z)): 0.2513 / 0.1486
e[13/25]b[76/250]	Loss_D: 0.8645	Loss_G: 3.7515	D(x): 0.8048	D(G(z)): 0.4095 / 0.0226
e[13/25]b[101/250]	Loss_D: 0.5312	Loss_G: 3.0999	D(x): 0.9428	D(G(z)): 0.2393 / 0.0549
e[13/25]b[126/250]	Loss_D: 0.4813	Loss_G: 1.9680	D(x): 0.8005	D(G(z)): 0.1500 / 0.1435
e[13/25]b[151/250]	Loss_D: 0.5528	Loss_G: 2.4847	D(x): 0.8104	D(G(z)): 0.1984 / 0.0853
e[13/25]b[176/250]	Loss_D: 2.6472	Loss_G: 3.8741	D(x): 0.9225	D(G(z)): 0.9025 / 0.0187
e[13/25]b[201/250]	Loss_D: 0.7380	Loss_G: 3.1402	D(x): 0.8371	D(G(z)): 0.3419 / 0.0390
e[13/25]b[226/250]	Loss_D: 0.5405	Loss_G: 2.8759	D(x): 0.6342	D(G(z)): 0.0270 / 0.0573
e[14/25]b[1/250]	Loss_D: 6.3877	Loss_G: 0.6982	D(x): 0.0169	D(G(z)): 0.8501 / 0.5377
e[14/25]b[26/250]	Loss_D: 0.8728	Loss_G: 2.1809	D(x): 0.8834	D(G(z)): 0.4455 / 0.1201
e[14/25]b[51/250]	Loss_D: 0.4978	Loss_G: 2.8410	D(x): 0.7556	D(G(z)): 0.1025 / 0.0543
e[14/25]b[76/250]	Loss_D: 1.1194	Loss_G: 2.4818	D(x): 0.4569	D(G(z)): 0.1803 / 0.2071
e[14/25]b[101/250]	Loss_D: 0.8324	Loss_G: 2.7041	D(x): 0.4851	D(G(z)): 0.0130 / 0.0609
e[14/25]b[126/250]	Loss_D: 0.6997	Loss_G: 7.3713	D(x): 0.5541	D(G(z)): 0.0006 / 0.0009
e[14/25]b[151/250]	Loss_D: 0.5944	Loss_G: 2.8681	D(x): 0.7675	D(G(z)): 0.2113 / 0.0506
e[14/25]b[176/250]	Loss_D: 0.4521	Loss_G: 1.6005	D(x): 0.8208	D(G(z)): 0.1412 / 0.1980
e[14/25]b[201/250]	Loss_D: 0.5733	Loss_G: 1.4172	D(x): 0.6146	D(G(z)): 0.0470 / 0.2436
e[14/25]b[226/250]	Loss_D: 0.5093	Loss_G: 2.5752	D(x): 0.8986	D(G(z)): 0.2241 / 0.0789
e[15/25]b[1/250]	Loss_D: 0.5013	Loss_G: 2.1347	D(x): 0.7721	D(G(z)): 0.1186 / 0.1111
e[15/25]b[26/250]	Loss_D: 0.4116	Loss_G: 3.1030	D(x): 0.7589	D(G(z)): 0.0324 / 0.0406
e[15/25]b[51/250]	Loss_D: 1.9407	Loss_G: 3.0602	D(x): 0.9535	D(G(z)): 0.7940 / 0.0465
e[15/25]b[76/250]	Loss_D: 0.8631	Loss_G: 3.4084	D(x): 0.6082	D(G(z)): 0.1289 / 0.1476
e[15/25]b[101/250]	Loss_D: 0.4515	Loss_G: 2.8543	D(x): 0.7611	D(G(z)): 0.0737 / 0.1009
e[15/25]b[126/250]	Loss_D: 0.7415	Loss_G: 4.7027	D(x): 0.5276	D(G(z)): 0.0049 / 0.0146
e[15/25]b[151/250]	Loss_D: 0.3177	Loss_G: 3.8579	D(x): 0.8440	D(G(z)): 0.0409 / 0.0185
e[15/25]b[176/250]	Loss_D: 0.5476	Loss_G: 3.4884	D(x): 0.9138	D(G(z)): 0.2591 / 0.0319
e[15/25]b[201/250]	Loss_D: 0.3063	Loss_G: 1.9805	D(x): 0.8955	D(G(z)): 0.0644 / 0.1283
e[15/25]b[226/250]	Loss_D: 0.8256	Loss_G: 1.2996	D(x): 0.5192	D(G(z)): 0.1110 / 0.2721
e[16/25]b[1/250]	Loss_D: 0.6429	Loss_G: 2.3016	D(x): 0.6419	D(G(z)): 0.0694 / 0.0914
e[16/25]b[26/250]	Loss_D: 0.9945	Loss_G: 3.5511	D(x): 0.9131	D(G(z)): 0.5137 / 0.0274
e[16/25]b[51/250]	Loss_D: 0.5107	Loss_G: 2.4185	D(x): 0.9913	D(G(z)): 0.1873 / 0.1039
e[16/25]b[76/250]	Loss_D: 1.1853	Loss_G: 1.3172	D(x): 0.4281	D(G(z)): 0.1685 / 0.3351
e[16/25]b[101/250]	Loss_D: 1.1369	Loss_G: 5.6538	D(x): 0.9763	D(G(z)): 0.5631 / 0.0046
e[16/25]b[126/250]	Loss_D: 1.1871	Loss_G: 2.6954	D(x): 0.3129	D(G(z)): 0.0166 / 0.1047
e[16/25]b[151/250]	Loss_D: 0.3681	Loss_G: 2.8484	D(x): 0.8065	D(G(z)): 0.0518 / 0.0499
e[16/25]b[176/250]	Loss_D: 1.5796	Loss_G: 3.3157	D(x): 0.9680	D(G(z)): 0.7255 / 0.0347
e[16/25]b[201/250]	Loss_D: 0.4728	Loss_G: 2.6665	D(x): 0.9055	D(G(z)): 0.2082 / 0.0647
e[16/25]b[226/250]	Loss_D: 0.3632	Loss_G: 3.6364	D(x): 0.9235	D(G(z)): 0.0941 / 0.0264
e[17/25]b[1/250]	Loss_D: 0.9922	Loss_G: 1.7128	D(x): 0.4377	D(G(z)): 0.1071 / 0.2210
e[17/25]b[26/250]	Loss_D: 0.5004	Loss_G: 2.7291	D(x): 0.7620	D(G(z)): 0.1354 / 0.0703
e[17/25]b[51/250]	Loss_D: 2.5890	Loss_G: 3.0300	D(x): 0.9912	D(G(z)): 0.8768 / 0.0460
e[17/25]b[76/250]	Loss_D: 0.8490	Loss_G: 3.8676	D(x): 0.7600	D(G(z)): 0.2850 / 0.0545
e[17/25]b[101/250]	Loss_D: 0.3975	Loss_G: 3.0592	D(x): 0.9049	D(G(z)): 0.1402 / 0.0516
e[17/25]b[126/250]	Loss_D: 1.1315	Loss_G: 3.6536	D(x): 0.3677	D(G(z)): 0.0012 / 0.0404
e[17/25]b[151/250]	Loss_D: 0.3508	Loss_G: 3.0372	D(x): 0.8329	D(G(z)): 0.0439 / 0.0442
e[17/25]b[176/250]	Loss_D: 0.5823	Loss_G: 2.6582	D(x): 0.9606	D(G(z)): 0.2711 / 0.0680
e[17/25]b[201/250]	Loss_D: 0.5135	Loss_G: 1.2513	D(x): 0.8572	D(G(z)): 0.2104 / 0.2920
e[17/25]b[226/250]	Loss_D: 0.4626	Loss_G: 2.7453	D(x): 0.8011	D(G(z)): 0.1305 / 0.0746
e[18/25]b[1/250]	Loss_D: 2.4255	Loss_G: 0.7068	D(x): 0.2525	D(G(z)): 0.4853 / 0.5013
e[18/25]b[26/250]	Loss_D: 1.5376	Loss_G: 3.1731	D(x): 0.9772	D(G(z)): 0.6879 / 0.0474
e[18/25]b[51/250]	Loss_D: 0.3550	Loss_G: 2.8491	D(x): 0.9574	D(G(z)): 0.1128 / 0.0604
e[18/25]b[76/250]	Loss_D: 0.8209	Loss_G: 2.3771	D(x): 0.6414	D(G(z)): 0.2174 / 0.1382
e[18/25]b[101/250]	Loss_D: 0.4109	Loss_G: 2.9373	D(x): 0.7453	D(G(z)): 0.0312 / 0.0506
e[18/25]b[126/250]	Loss_D: 0.8507	Loss_G: 4.7852	D(x): 0.4740	D(G(z)): 0.0004 / 0.0178
e[18/25]b[151/250]	Loss_D: 0.4168	Loss_G: 3.1235	D(x): 0.7467	D(G(z)): 0.0339 / 0.0376
e[18/25]b[176/250]	Loss_D: 1.5011	Loss_G: 4.5929	D(x): 0.9754	D(G(z)): 0.6959 / 0.0101
e[18/25]b[201/250]	Loss_D: 0.4043	Loss_G: 4.7363	D(x): 0.7215	D(G(z)): 0.0104 / 0.0090
e[18/25]b[226/250]	Loss_D: 0.5357	Loss_G: 2.8720	D(x): 0.8394	D(G(z)): 0.2104 / 0.0647
e[19/25]b[1/250]	Loss_D: 0.9856	Loss_G: 2.1980	D(x): 0.3955	D(G(z)): 0.0368 / 0.1665
e[19/25]b[26/250]	Loss_D: 0.4623	Loss_G: 4.2104	D(x): 0.8189	D(G(z)): 0.1414 / 0.0248
e[19/25]b[51/250]	Loss_D: 0.7001	Loss_G: 1.8504	D(x): 0.8224	D(G(z)): 0.3110 / 0.1567
e[19/25]b[76/250]	Loss_D: 1.2076	Loss_G: 2.6047	D(x): 0.6469	D(G(z)): 0.4733 / 0.0922
e[19/25]b[101/250]	Loss_D: 0.7594	Loss_G: 3.9324	D(x): 0.4913	D(G(z)): 0.0023 / 0.0199
e[19/25]b[126/250]	Loss_D: 3.8719	Loss_G: 1.7379	D(x): 0.0598	D(G(z)): 0.0015 / 0.2548
e[19/25]b[151/250]	Loss_D: 0.3072	Loss_G: 3.6183	D(x): 0.8679	D(G(z)): 0.0253 / 0.0259
e[19/25]b[176/250]	Loss_D: 0.3528	Loss_G: 3.5648	D(x): 0.9023	D(G(z)): 0.1027 / 0.0375
